,a_lower,a_upper,b_lower,b_upper,c,d
0,-90.9196,-42.7085,7.3142,2.8978,-0.2044,2.1471
1,219.5183,186.3087,-10.7328,-1.7846,-0.0113,-0.0962
2,-73.4592,-86.1998,5.4493,0.884,0.0334,0.0452
3,-537.9026,121.2449,-34.5423,-5.6019,1.5458,1.5575
4,1800.0979,1969.5188,-24.2859,-5.1388,1.8479,-19.3253
5,1535.6021,281.6211,67.1498,5.8352,0.0292,-2.4131
6,-769.0253,-167.9018,-34.7979,-2.2303,-0.0016,0.9512
7,-401.7599,-925.5186,40.2565,5.2039,-1.1601,31.2123
8,-296.8249,57.5242,-17.7449,-1.8622,-0.0094,-12.6937
9,,,,,-0.0465,
10,,,,,0.3208,
11,,,,,-1.6261,
12,,,,,0.4294,
13,,,,,0.0005,
14,,,,,0.0022,
